Delito,SubDelito,Fecha,Hora,Victima,SubVictima,Edad,Genero,Nacionalidad,Provincia,Canton,Distrito,;;
ASALTO,ARMA BLANCA,2022-02-20,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,QUEPOS,;;
ASALTO,ARMA BLANCA,2022-02-22,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,LIMON,LIMON,;;
ASALTO,ARMA BLANCA,2022-01-02,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE,;;
ASALTO,ARMA BLANCA,2022-01-01,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,LIMON,TALAMANCA,;;
ASALTO,ARMA BLANCA,2022-01-08,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,LIMON,SIQUIRRES,;;
ASALTO,ARMA BLANCA,2022-01-08,09:00:00 - 11:59:59,EDIFICACION,PULPERIA/ABASTECEDOR/MINISUPER/EXPENDIO CARNE [EDIFICACION],Adulto Mayor,DESCONOCIDO,COSTA RICA,SAN JOSE,PURISCAL,;;
ASALTO,ARMA BLANCA,2022-01-10,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,DESCONOCIDO,COSTA RICA,ALAJUELA,ALAJUELA,;;
ASALTO,ARMA BLANCA,2022-01-11,09:00:00 - 11:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,SAN RAMON,;;
ASALTO,ARMA BLANCA,2022-01-17,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,DESCONOCIDO,Desconocido,SAN JOSE,SAN JOSE,;;
ASALTO,ARMA BLANCA,2022-01-16,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,GUANACASTE,SANTA CRUZ,;;
ASALTO,ARMA BLANCA,2022-01-18,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,GUANACASTE,LIBERIA,;;
ASALTO,ARMA BLANCA,2022-01-17,18:00:00 - 20:59:59,VEHICULO,OTRO O INDETERMINADO [VEHICULO],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,;;
ASALTO,ARMA BLANCA,2022-01-20,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,DESAMPARADOS,;;
ASALTO,ARMA BLANCA,2022-01-24,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,ASERRI,;;
ASALTO,ARMA BLANCA,2022-01-25,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,LIMON,MATINA,;;
ASALTO,ARMA BLANCA,2022-01-26,09:00:00 - 11:59:59,EDIFICACION,PULPERIA/ABASTECEDOR/MINISUPER/EXPENDIO CARNE [EDIFICACION],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,SAN RAMON,;;
ASALTO,ARMA BLANCA,2022-01-27,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,NORUEGA,PUNTARENAS,PUNTARENAS,;;
ASALTO,ARMA BLANCA,2022-01-30,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,ALAJUELA,;;
ASALTO,ARMA BLANCA,2022-01-31,15:00:00 - 17:59:59,EDIFICACION,TIENDA/BOUTIQUE [EDIFICACION],Mayor de edad,MUJER,NICARAGUA,ALAJUELA,SAN RAMON,;;
ASALTO,ARMA BLANCA,2022-01-31,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,CARTAGO,CARTAGO,;;
ASALTO,ARMA BLANCA,2022-02-01,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,PUNTARENAS,COTO BRUS,;;
ASALTO,ARMA BLANCA,2022-02-06,09:00:00 - 11:59:59,VIVIENDA,NO APLICA [VIVIENDA],Adulto Mayor,HOMBRE,COSTA RICA,ALAJUELA,SAN RAMON,;;
ASALTO,ARMA BLANCA,2022-02-01,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,DESCONOCIDO,Desconocido,ALAJUELA,ALAJUELA,;;
ASALTO,ARMA BLANCA,2022-02-07,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,PEREZ ZELEDON,;;
ASALTO,ARMA BLANCA,2022-02-12,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,PEREZ ZELEDON,;;
ASALTO,ARMA BLANCA,2022-02-13,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,SAN ISIDRO,;;
ASALTO,ARMA BLANCA,2022-02-17,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,ALAJUELA,;;
ASALTO,ARMA BLANCA,2022-02-16,21:00:00 - 23:59:59,VEHICULO,SERVICIO PUBLICO/TAXI LEGAL O PIRATA/AUTOBUS [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,;;
ASALTO,ARMA BLANCA,2022-02-18,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SARCH&#205;,;
ASALTO,ARMA BLANCA,2022-02-21,09:00:00 - 11:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,MUJER,BELGICA,ALAJUELA,GRECIA,;;
ASALTO,ARMA BLANCA,2022-02-21,18:00:00 - 20:59:59,EDIFICACION,PULPERIA/ABASTECEDOR/MINISUPER/EXPENDIO CARNE [EDIFICACION],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,GOLFITO,;;
ASALTO,ARMA BLANCA,2022-01-01,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,GARABITO,;;
ASALTO,ARMA BLANCA,2022-01-01,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,;;
ASALTO,ARMA BLANCA,2022-01-04,15:00:00 - 17:59:59,VEHICULO,SERVICIO PUBLICO/TAXI LEGAL O PIRATA/AUTOBUS [VEHICULO],Desconocido,DESCONOCIDO,COSTA RICA,PUNTARENAS,PUNTARENAS,;;
ASALTO,ARMA BLANCA,2022-01-06,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,GUANACASTE,CANAS,;;
